,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
349,Kangaatsiaq,68.3065,-53.4641,7.02,92,5,3.13,GL,clear sky
350,San Rafael,-34.6177,-68.3301,80.6,39,75,3.44,AR,broken clouds
351,Sarangani,5.4033,125.4636,81.46,74,71,17.87,PH,broken clouds
352,Bonfim,3.0833,-59.95,83.84,54,87,8.16,BR,overcast clouds
353,Alihe,50.5667,123.7167,-23.3,84,99,0.96,CN,overcast clouds
354,Pitimbu,-7.4706,-34.8086,80.6,78,20,8.05,BR,few clouds
355,Norilsk,69.3535,88.2027,-31.7,66,14,1.43,RU,few clouds
356,Codrington,-38.2667,141.9667,61.2,77,100,10.67,AU,overcast clouds
357,Lugo,43.0,-7.5,54.0,89,100,4.0,ES,light rain
358,Steyr,48.0427,14.4213,45.0,81,75,17.27,AT,broken clouds
359,Sola,-13.8833,167.55,84.2,84,75,15.46,VU,broken clouds
360,Belmonte,-15.8631,-38.8828,78.8,69,20,12.66,BR,few clouds
361,Synya,65.3718,58.0387,-8.59,87,100,2.15,RU,overcast clouds
362,Fortuna,40.5982,-124.1573,54.0,71,75,6.91,US,broken clouds
363,Charlestown,-32.95,151.6667,75.0,96,99,4.0,AU,light rain
364,Ures,29.4333,-110.4,70.0,46,56,8.01,MX,broken clouds
365,Zhovtneve,50.6637,24.2492,17.29,96,82,4.45,UA,broken clouds
366,Myanaung,18.2833,95.3167,70.52,75,2,0.36,MM,clear sky
367,San Lawrenz,36.0553,14.204,62.6,72,0,19.57,MT,clear sky
368,Pueblo Nuevo Solistahuacan,17.1,-92.8833,80.6,54,40,18.41,MX,scattered clouds
369,Inirida,3.8653,-67.9239,80.74,69,29,2.24,CO,scattered clouds
370,Saint-Francois,46.4154,3.9054,44.01,87,0,6.91,FR,clear sky
371,Iberia,29.9502,-91.7507,57.2,62,1,6.91,US,clear sky
372,Puerto Leguizamo,-0.1934,-74.7819,82.17,61,3,2.68,CO,clear sky
373,Aranos,-24.1333,19.1167,77.79,48,83,10.04,NA,broken clouds
374,Vardo,70.3705,31.1107,21.2,86,75,16.11,NO,light snow
375,Asau,46.4333,26.4,37.99,59,98,5.12,RO,overcast clouds
376,Santa Cruz,-17.8,-63.1667,75.2,94,75,17.27,BO,broken clouds
377,Nara,34.6851,135.8049,37.0,64,75,6.91,JP,broken clouds
378,Necochea,-38.5473,-58.7368,70.0,70,79,3.0,AR,broken clouds
379,Sao Luis,-2.5297,-44.3028,80.6,83,40,6.91,BR,scattered clouds
380,Sao Jose Da Tapera,-9.5583,-37.3811,77.47,69,100,12.75,BR,overcast clouds
381,Ormara,25.2088,64.6357,65.75,44,0,4.83,PK,clear sky
382,Birakan,49.0167,131.7,-23.69,84,11,2.91,RU,few clouds
383,Padang,-0.9492,100.3543,73.4,100,75,2.3,ID,broken clouds
384,Zhangjiakou,40.81,114.8794,20.32,82,0,4.9,CN,clear sky
385,Meulaboh,4.1363,96.1285,74.8,87,100,5.84,ID,overcast clouds
386,Tessalit,20.1986,1.0114,63.84,25,0,13.29,ML,clear sky
387,Neringa,55.3719,21.0647,28.4,100,75,6.71,LT,light snow
388,Hokitika,-42.7167,170.9667,61.88,52,0,5.68,NZ,clear sky
389,Bandarbeyla,9.4942,50.8122,72.7,75,29,9.86,SO,scattered clouds
390,Arlit,18.7369,7.3853,59.74,29,20,3.78,NE,few clouds
391,Taunggyi,20.7833,97.0333,52.83,96,31,4.52,MM,scattered clouds
392,Sao Filipe,14.8961,-24.4956,75.31,56,86,7.96,CV,overcast clouds
393,Talnakh,69.4865,88.3972,-32.03,66,1,2.3,RU,clear sky
394,Jingdezhen,29.2947,117.2079,39.79,72,63,3.02,CN,broken clouds
395,Babu,24.4167,111.5167,51.3,53,11,1.57,CN,few clouds
396,Ust-Nera,64.5667,143.2,-17.16,79,100,3.58,RU,overcast clouds
397,Katsuura,35.1333,140.3,39.2,41,20,11.5,JP,few clouds
398,Mitsamiouli,-11.3847,43.2844,82.92,70,100,8.1,KM,light rain
399,Okha,53.5739,142.9478,-6.09,89,99,9.37,RU,overcast clouds
400,Irun,43.339,-1.7894,60.01,93,93,3.44,ES,overcast clouds
401,Tiksi,71.6872,128.8694,-32.01,84,100,4.23,RU,overcast clouds
402,Mathathane,-22.2687,28.7495,74.52,75,37,10.18,BW,scattered clouds
403,Vorobyevka,50.6451,40.9245,33.04,95,100,21.47,RU,snow
404,Tadine,-21.55,167.8833,78.75,71,59,17.58,NC,broken clouds
405,Jizan,17.3333,42.6667,75.2,83,40,3.44,SA,scattered clouds
406,Havoysund,70.9963,24.6622,17.6,73,40,3.44,NO,scattered clouds
407,Aguimes,27.9054,-15.4461,69.01,94,40,8.05,ES,scattered clouds
408,Lakselv,70.0513,24.9718,12.2,73,90,12.66,NO,overcast clouds
409,Porto Novo,6.4965,2.6036,84.2,84,40,12.66,BJ,scattered clouds
410,Inongo,-1.95,18.2667,74.05,86,98,3.47,CD,light rain
411,Liverpool,53.4106,-2.9779,42.8,87,90,18.41,GB,overcast clouds
412,Biak,-0.9131,122.8766,76.89,71,100,3.44,ID,overcast clouds
413,Catarman,12.4989,124.6377,75.11,88,100,18.01,PH,overcast clouds
414,Aykhal,66.0,111.5,-36.08,80,91,7.72,RU,overcast clouds
415,Ambon,-3.6954,128.1814,84.2,70,40,2.3,ID,scattered clouds
416,Nanakuli,21.3906,-158.1547,80.6,50,90,12.66,US,overcast clouds
417,Aktau,43.65,51.2,26.6,93,0,8.95,KZ,clear sky
418,Qaqortoq,60.7167,-46.0333,44.6,29,75,24.16,GL,broken clouds
419,Luba,3.4568,8.5547,78.8,83,20,5.75,GQ,few clouds
420,Cabatuan,10.8794,122.486,73.94,88,100,17.29,PH,overcast clouds
421,Villa Union,23.2,-106.2333,80.6,44,75,12.66,MX,broken clouds
422,Westonaria,-26.3191,27.6486,64.99,96,45,5.79,ZA,scattered clouds
423,Nouadhibou,20.931,-17.0347,69.8,49,0,14.97,MR,clear sky
424,Banka,24.8833,86.9167,46.09,66,0,6.73,IN,clear sky
425,Tura,25.5198,90.2201,53.83,55,0,1.81,IN,clear sky
426,Nizhniy Kuranakh,58.8353,125.4869,-35.1,80,100,1.28,RU,overcast clouds
427,Harper,4.375,-7.7169,78.1,86,88,5.57,LR,overcast clouds
428,Seymchan,62.8833,152.4333,-22.95,85,100,3.62,RU,overcast clouds
429,Batagay-Alyta,67.8006,130.4114,-30.06,82,100,1.59,RU,overcast clouds
430,Ekhabi,53.5102,142.9671,-6.36,89,100,9.78,RU,overcast clouds
431,Binga,-17.6203,27.3414,72.61,86,100,2.93,ZW,overcast clouds
432,Zhuhai,22.2769,113.5678,60.8,72,0,13.8,CN,clear sky
433,Wamba,8.9333,8.6,75.6,19,0,5.59,NG,clear sky
434,Oranjestad,12.524,-70.027,78.8,78,20,14.97,AW,few clouds
435,Ouango,4.3133,22.5552,70.43,88,91,3.67,CF,overcast clouds
436,Marzuq,14.4,46.4667,58.06,36,0,3.85,YE,clear sky
437,General Pico,-35.6566,-63.7568,74.82,41,90,23.22,AR,moderate rain
438,Benicarlo,40.4165,0.4271,54.0,70,69,5.01,ES,broken clouds
439,Coquimbo,-29.9533,-71.3436,62.6,88,75,11.5,CL,broken clouds
440,Leninskoye,41.7589,69.3864,33.8,55,0,2.3,KZ,clear sky
441,Bonnyville,54.2668,-110.735,8.6,66,1,2.3,CA,clear sky
442,George,-33.963,22.4617,59.0,88,0,3.44,ZA,clear sky
443,Andenes,69.3143,16.1194,21.2,79,20,12.66,NO,few clouds
444,Visnes,59.3556,5.2242,33.01,93,90,11.5,NO,light snow
445,Lazaro Cardenas,17.9583,-102.2,83.53,59,100,9.73,MX,overcast clouds
446,Hohhot,40.8106,111.6522,3.2,78,0,4.47,CN,clear sky
447,Rio Pardo De Minas,-15.6097,-42.5397,72.57,64,47,5.37,BR,scattered clouds
448,Ahipara,-35.1667,173.1667,68.13,65,5,8.16,NZ,clear sky
449,Columbus,39.9612,-82.9988,30.0,46,40,6.91,US,scattered clouds
450,Praia,14.9215,-23.5087,73.4,56,75,19.57,CV,broken clouds
451,Beregovoy,55.173,73.2198,3.2,85,96,2.42,RU,fog
452,Ilulissat,69.2167,-51.1,1.4,55,0,8.05,GL,clear sky
453,Terney,45.0503,136.6092,-4.79,86,67,16.28,RU,broken clouds
454,Ribeira Grande,38.5167,-28.7,60.48,80,5,16.67,PT,clear sky
455,La Rioja,42.25,-2.5,44.6,93,0,6.96,ES,clear sky
456,Nelson Bay,-32.7167,152.15,80.01,78,75,5.75,AU,light rain
457,Eyl,7.9803,49.8164,70.5,82,1,11.43,SO,clear sky
458,Colares,38.7992,-9.4469,59.0,100,100,17.16,PT,overcast clouds
459,Beni Suef,29.0731,31.0979,42.08,76,0,1.99,EG,clear sky
460,Harrison,30.4091,-89.0436,53.6,50,1,3.44,US,clear sky
461,Krasnoselkup,65.7,82.4667,-31.59,79,46,4.92,RU,scattered clouds
462,Grindavik,63.8424,-22.4338,35.6,75,75,6.91,IS,broken clouds
463,Porto Velho,-8.7619,-63.9039,78.8,83,40,4.61,BR,light rain
464,Camacha,33.0833,-16.3333,62.6,82,75,8.05,PT,broken clouds
465,Evensk,61.95,159.2333,-3.82,83,99,13.98,RU,overcast clouds
466,Agadir,30.4202,-9.5982,53.6,82,0,3.44,MA,clear sky
467,Sakakah,29.9697,40.2064,48.2,53,0,14.97,SA,clear sky
468,Darhan,49.4867,105.9228,0.27,89,95,3.96,MN,overcast clouds
469,Wuhan,30.5833,114.2667,46.4,49,0,4.47,CN,clear sky
470,Bjelovar,45.8986,16.8489,37.99,93,100,5.75,HR,overcast clouds
471,Zaysan,47.4667,84.8667,-0.08,89,84,0.76,KZ,broken clouds
472,Tiarei,-17.5333,-149.3333,84.2,65,20,14.97,PF,moderate rain
473,Kaufbeuren,47.8833,10.6167,39.99,87,100,24.16,DE,overcast clouds
474,Sumkino,58.1108,68.3244,4.08,94,100,8.97,RU,overcast clouds
475,Mehran,33.1222,46.1646,39.2,93,90,2.3,IR,mist
476,Lethem,3.3803,-59.7968,83.25,55,70,8.48,GY,broken clouds
477,Poum,-20.2333,164.0167,80.87,71,4,12.35,NC,clear sky
478,Labuhan,-6.8844,112.2051,77.38,88,100,16.82,ID,light rain
479,Solyanka,46.3889,48.0176,28.4,93,90,1.81,RU,fog
480,Tilichiki,60.4667,166.1,-3.87,93,89,11.54,RU,overcast clouds
481,Tucuman,-26.8241,-65.2226,91.4,52,20,2.3,AR,few clouds
482,Kudahuvadhoo,2.6708,72.8944,80.85,79,62,15.93,MV,broken clouds
483,Geraldton,-28.7667,114.6,84.2,24,0,26.46,AU,clear sky
484,Namibe,-15.1961,12.1522,74.01,74,49,7.78,AO,scattered clouds
485,Sanguem,15.2333,74.1667,71.6,94,33,3.44,IN,mist
486,Karlstad,59.3793,13.5036,8.6,100,0,3.44,SE,clear sky
487,Okhotsk,59.3833,143.3,-13.59,83,0,6.4,RU,clear sky
488,Sri Aman,1.2376,111.4621,75.2,100,100,2.01,MY,moderate rain
489,Cabedelo,-6.9811,-34.8339,80.6,78,20,8.05,BR,few clouds
490,Saint George,37.1041,-113.5841,46.4,66,90,11.5,US,overcast clouds
491,Hwange,-18.3693,26.5019,68.34,92,100,1.14,ZW,overcast clouds
492,Ilinskiy,55.619,38.1182,28.4,80,75,11.18,RU,light snow
493,Vieux Fort,13.7167,-60.95,80.6,69,40,10.36,LC,scattered clouds
494,Vila,42.0304,-8.1588,50.0,95,100,10.07,PT,light rain
495,Mtsensk,53.2766,36.5733,20.62,97,77,11.43,RU,broken clouds
496,Leh,34.1667,77.5833,-1.14,65,16,2.59,IN,few clouds
497,Tome,-36.6167,-72.95,59.0,100,90,8.05,CL,mist
498,Peniche,39.3558,-9.3811,57.99,96,100,11.99,PT,overcast clouds
499,Saint-Georges,12.0564,-61.7485,78.8,78,40,17.27,GD,scattered clouds
500,Beloretsk,53.9631,58.3981,5.0,85,90,2.24,RU,light snow
501,Dicabisagan,17.0818,122.4157,68.94,81,99,13.51,PH,overcast clouds
502,Abancay,-13.6339,-72.8814,64.29,59,30,5.32,PE,scattered clouds
503,Red Deer,52.2668,-113.802,8.6,78,1,2.53,CA,haze
504,Russell,32.3502,-85.1999,57.2,43,1,1.28,US,clear sky
505,Shu,43.5983,73.7614,16.02,85,0,0.94,KZ,clear sky
506,Hasaki,35.7333,140.8333,35.6,38,20,11.5,JP,few clouds
507,Vao,-22.6667,167.4833,75.72,74,87,21.52,NC,overcast clouds
508,Airai,-8.9266,125.4092,62.8,100,100,4.23,TL,overcast clouds
509,Wilmington,34.2257,-77.9447,39.99,41,1,5.75,US,clear sky
510,Turbat,26.0023,63.044,53.58,44,0,0.96,PK,clear sky
511,Acapulco,16.8634,-99.8901,84.2,70,75,10.36,MX,broken clouds
512,Doha,25.2867,51.5333,69.01,77,0,5.75,QA,clear sky
513,Onega,63.9061,38.1404,22.69,96,100,11.03,RU,overcast clouds
514,Bac Lieu,9.285,105.7244,73.81,78,100,11.3,VN,overcast clouds
515,Kenitra,34.261,-6.5802,51.8,100,75,3.83,MA,broken clouds
516,Lebanon,36.2081,-86.2911,41.0,42,1,4.0,US,clear sky
517,Bataipora,-22.2953,-53.2711,71.6,89,99,3.33,BR,overcast clouds
518,Murakami,38.2333,139.4833,30.2,86,75,28.77,JP,light snow
519,Sibut,5.718,19.0739,75.88,47,74,2.01,CF,broken clouds
520,Bismil,37.8486,40.6658,39.2,87,75,5.75,TR,broken clouds
521,Naryan-Mar,67.6713,53.087,-10.14,84,100,14.79,RU,overcast clouds
522,Kigorobya,1.6162,31.3089,76.98,46,75,4.85,UG,broken clouds
523,Chuy,-33.6971,-53.4616,70.95,86,1,5.39,UY,clear sky
524,Bengkulu,-3.8004,102.2655,74.95,86,100,4.54,ID,overcast clouds
525,Olovi,50.2511,12.5588,37.99,85,98,1.01,CZ,overcast clouds
526,Timra,62.487,17.3257,7.0,85,17,4.61,SE,few clouds
527,Bosaso,11.2842,49.1816,71.51,79,2,2.62,SO,clear sky
528,Ballina,-28.8667,153.5667,78.8,69,90,9.22,AU,overcast clouds
529,Wheatley,51.7473,-1.1394,46.4,87,90,2.3,GB,overcast clouds
530,Sakleshpur,12.9667,75.7833,61.39,86,0,6.17,IN,clear sky
531,Pudozh,61.8099,36.5345,21.04,97,100,6.71,RU,overcast clouds
532,Umred,20.85,79.3333,59.0,44,8,5.75,IN,haze
533,Fairbanks,64.8378,-147.7164,7.0,77,1,2.28,US,clear sky
534,Virpur,23.1833,73.4833,54.86,39,10,10.31,IN,clear sky
535,Tabuk,17.4189,121.4443,63.68,89,79,6.69,PH,broken clouds
536,Camana,-16.6228,-72.7111,72.48,70,0,6.98,PE,clear sky
537,Gornopravdinsk,60.05,69.9,-20.83,84,64,7.25,RU,broken clouds
538,Solnechnyy,50.7214,136.6319,-7.04,88,100,4.94,RU,light snow
539,Sturlic,45.0639,15.7781,36.0,91,100,1.01,BA,overcast clouds
540,Portland,45.5234,-122.6762,48.0,66,90,4.61,US,overcast clouds
541,Wattegama,6.7989,81.4808,71.31,93,75,4.29,LK,broken clouds
542,Roma,43.2128,-75.4557,6.8,61,1,5.75,US,clear sky
543,Krasnaya Gora,52.9995,31.6023,24.8,86,90,13.42,RU,overcast clouds
544,Kurumkan,54.3,110.3,-20.36,79,100,2.62,RU,overcast clouds
545,Tocache,-8.1842,-76.5125,76.03,86,87,0.96,PE,overcast clouds
546,Izumo,35.3667,132.7667,33.8,75,40,8.05,JP,scattered clouds
547,Iracoubo,5.4802,-53.2011,77.04,89,100,13.22,GF,heavy intensity rain
548,Mount Vernon,40.9126,-73.8371,24.01,42,1,13.8,US,clear sky
549,Avera,33.194,-82.5271,44.6,53,1,3.04,US,clear sky
550,Saint Anthony,45.0205,-93.218,25.0,68,90,11.5,US,overcast clouds
551,Puerto Del Rosario,28.5004,-13.8627,64.4,77,0,5.75,ES,clear sky
552,Ustye,59.6304,39.736,20.34,97,100,10.89,RU,light snow
553,Melfi,40.9965,15.6514,42.8,81,90,26.46,IT,fog
554,Knysna,-34.0363,23.0471,59.0,88,0,3.44,ZA,clear sky
555,San Francisco,37.7749,-122.4194,55.4,67,75,4.61,US,broken clouds
556,Banda Aceh,5.5577,95.3222,77.81,80,73,13.31,ID,broken clouds
557,Berdigestyakh,62.0989,126.6992,-44.54,77,100,1.57,RU,overcast clouds
558,Palu,-0.8917,119.8707,73.87,79,93,2.66,ID,overcast clouds
559,Salalah,17.0151,54.0924,71.6,64,75,4.61,OM,broken clouds
560,Maceio,-9.6658,-35.7353,77.0,94,75,4.61,BR,broken clouds
561,Zlobin,45.2924,14.6541,48.2,87,40,2.3,HR,scattered clouds
562,Matadi,-5.8167,13.45,75.51,91,100,2.68,CD,overcast clouds
563,Polysayevo,54.6012,86.2459,18.32,97,100,11.99,RU,light snow
564,Waslala,13.2333,-85.3833,68.0,64,20,18.41,NI,few clouds
565,Urubicha,-15.3833,-62.95,74.91,95,100,2.42,BO,light rain
566,Belyy Yar,53.6039,91.3903,23.0,74,0,15.3,RU,clear sky
567,Atasu,48.6814,71.6433,17.15,90,0,9.75,KZ,clear sky
568,Dingzhou,38.5131,114.9956,17.6,57,0,2.24,CN,clear sky
569,Chernyshevskiy,63.0128,112.4714,-45.58,80,82,3.6,RU,broken clouds
570,Fougamou,-1.2154,10.5838,75.24,91,100,2.33,GA,moderate rain
571,Ketchikan,55.3422,-131.6461,35.6,75,90,11.5,US,overcast clouds
572,Igarka,67.4667,86.5833,-29.74,76,50,4.38,RU,scattered clouds
573,Constitucion,-35.3333,-72.4167,62.35,90,100,5.06,CL,overcast clouds
574,Kununurra,-15.7667,128.7333,80.6,94,40,10.36,AU,scattered clouds
575,Mangrol,21.1167,70.1167,61.66,32,48,12.53,IN,scattered clouds
576,Vaitape,-16.5167,-151.75,80.58,68,71,3.8,PF,light rain
577,Manyana,-23.4,21.7167,70.56,78,91,6.04,BW,light rain
578,Madison,34.7334,-86.5667,46.0,42,1,1.77,US,clear sky
579,Faanui,-16.4833,-151.75,80.46,68,71,3.58,PF,light rain
580,Khani,41.9563,42.9566,42.8,100,90,2.3,GE,overcast clouds
581,Loanda,-8.8368,13.2343,80.6,78,20,5.75,AO,few clouds
582,Tarko-Sale,64.9225,77.785,-37.95,82,9,8.66,RU,clear sky
583,Lithakia,37.7167,20.8333,55.4,94,56,9.22,GR,broken clouds
584,Kemijarvi,66.7131,27.4306,8.38,94,100,6.78,FI,overcast clouds
585,Borascu,44.7,23.2833,43.0,87,75,4.61,RO,broken clouds
586,Maracaibo,10.6317,-71.6406,80.65,64,96,11.7,VE,overcast clouds
587,Haines Junction,60.7522,-137.5108,-0.4,71,100,1.14,CA,overcast clouds
588,Mata Grande,-9.1175,-37.7322,73.63,76,100,9.86,BR,overcast clouds
589,Bone,51.9669,12.1396,32.0,95,99,3.0,DE,light snow
590,Milici,44.1711,19.0903,41.0,100,75,2.3,BA,mist
591,Bima,-8.4667,118.7167,77.65,87,100,1.07,ID,overcast clouds
592,Sinnamary,5.3833,-52.95,77.23,88,98,13.2,GF,moderate rain
593,Wewak,-3.5534,143.6268,80.82,81,99,5.08,PG,overcast clouds
594,Jumla,29.2747,82.1838,26.08,67,0,3.83,NP,clear sky
595,Kharp,66.8014,65.8081,-37.75,79,55,1.19,RU,broken clouds
596,Bam,29.106,58.357,61.21,30,86,9.06,IR,overcast clouds
597,Carmen,18.6333,-91.8333,75.2,73,90,9.22,MX,overcast clouds
598,Shingu,33.7333,135.9833,37.4,56,40,10.36,JP,scattered clouds
599,Yangambi,0.8102,24.4336,72.39,88,88,1.9,CD,overcast clouds
600,Sangar,63.9242,127.4739,-49.38,75,100,1.66,RU,overcast clouds
601,Suda,59.1525,37.5582,26.6,93,90,6.71,RU,light snow
602,Gushikawa,26.3544,127.8686,57.2,81,1,4.61,JP,clear sky
603,Genhe,50.7833,121.5167,-31.31,81,95,1.57,CN,overcast clouds
604,Cabra,37.4725,-4.4421,55.4,100,90,3.44,ES,mist
605,Sierpc,52.8568,19.6691,27.82,97,91,1.28,PL,light snow
606,Aljezur,37.3191,-8.8033,55.99,100,95,1.99,PT,overcast clouds
607,Aktas,49.7789,72.9608,-5.8,84,0,8.95,KZ,clear sky
608,Garowe,8.4054,48.4845,62.62,90,0,9.71,SO,clear sky
609,Mangan,27.5167,88.5333,44.53,51,8,8.75,IN,clear sky
610,Hammerfest,70.6634,23.6821,17.6,73,40,3.44,NO,scattered clouds
611,Port Augusta,-32.5,137.7667,69.01,68,90,11.5,AU,overcast clouds
612,Kongoussi,13.3258,-1.5347,73.72,19,0,10.18,BF,clear sky
613,Arrecife,28.963,-13.5477,62.6,94,20,2.3,ES,fog
614,Am Timan,11.0297,20.2827,74.14,20,3,8.7,TD,clear sky
615,Damaturu,11.747,11.9608,67.86,24,0,10.94,NG,clear sky
616,Mount Isa,-20.7333,139.5,93.2,38,72,8.05,AU,broken clouds
617,Guerrero Negro,27.9769,-114.0611,66.13,61,1,16.55,MX,clear sky
618,Sorong,-0.8833,131.25,79.72,79,100,4.74,ID,overcast clouds
619,Buraydah,26.326,43.975,55.4,50,0,6.91,SA,clear sky
620,Pundaguitan,6.3711,126.1689,80.11,78,67,13.15,PH,broken clouds
621,Paita,-5.0892,-81.1144,76.69,72,9,15.57,PE,clear sky
622,Champasak,14.75,106.0,60.66,84,28,1.1,LA,scattered clouds
623,Kongolo,-5.3833,27.0,69.51,92,79,0.89,CD,broken clouds
624,Hazorasp,41.3194,61.0742,41.0,60,99,9.22,UZ,overcast clouds
625,Impfondo,1.6381,18.0667,72.57,90,70,0.83,CG,light rain
626,Rapid Valley,44.0625,-103.1463,48.0,49,1,6.91,US,clear sky
627,Boa Vista,2.8197,-60.6733,86.0,51,75,6.91,BR,broken clouds
628,Ankpa,7.3706,7.6253,75.76,18,5,0.4,NG,clear sky
629,Corowa,-36.0333,146.3833,69.01,97,85,4.68,AU,overcast clouds
630,Herat,34.5,62.0,44.8,47,9,5.17,AF,clear sky
631,Amboasary,-25.0333,46.3833,82.4,83,20,18.41,MG,few clouds
632,Escanaba,45.7453,-87.0646,21.99,58,1,3.44,US,clear sky
633,San Policarpo,12.1791,125.5072,78.06,83,100,24.23,PH,overcast clouds
634,Kasongo-Lunda,-6.4667,16.8167,69.78,90,100,1.1,CD,light rain
635,Susuman,62.7833,148.1667,-24.72,82,100,3.51,RU,overcast clouds
636,Puri,19.8,85.85,64.4,88,20,3.47,IN,mist
637,Kletnya,53.3897,33.2171,22.21,97,97,10.78,RU,snow
638,Orumiyeh,37.5527,45.0761,33.8,93,75,4.61,IR,broken clouds
639,Cobija,-11.0267,-68.7692,84.2,74,40,6.91,BO,scattered clouds
640,Mersing,2.4312,103.8405,78.8,78,77,14.97,MY,broken clouds
641,Novikovo,51.1537,37.8879,28.08,98,100,10.69,RU,light snow
642,Shibetsu,43.659,145.132,27.3,97,100,3.62,JP,light snow
643,Nokaneng,-19.6667,22.2667,70.65,85,45,5.39,BW,moderate rain
644,Mumford,5.2618,-0.759,79.32,82,100,7.54,GH,overcast clouds
645,Alta Floresta,-9.8756,-56.0861,78.8,89,75,4.61,BR,broken clouds
646,Manakara,-22.1333,48.0167,75.76,89,0,6.33,MG,clear sky
647,Kolpny,52.2282,37.0368,23.88,97,100,8.25,RU,overcast clouds
648,Jian,27.1172,114.9793,49.86,56,99,4.32,CN,overcast clouds
649,Tiznit,29.5833,-9.5,61.56,48,0,1.14,MA,clear sky
650,Samana,19.2056,-69.3369,75.2,94,40,5.28,DO,scattered clouds
651,Dunedin,-45.8742,170.5036,57.0,63,67,8.01,NZ,broken clouds
652,Kaseda,31.4167,130.3167,32.0,64,0,5.75,JP,clear sky
653,Kamaishi,39.2667,141.8833,24.8,68,40,5.75,JP,light snow
654,Shawinigan,46.5668,-72.7491,9.0,61,85,3.44,CA,overcast clouds
655,Opuwo,-18.0607,13.84,71.13,60,98,6.55,NA,overcast clouds
656,Forestville,38.8451,-76.875,32.0,37,75,13.8,US,broken clouds
657,Saint-Augustin,51.226,-58.6502,15.51,91,0,13.31,CA,clear sky
658,Nisia Floresta,-6.0911,-35.2086,80.6,78,20,13.8,BR,few clouds
659,Katobu,-4.9408,122.5276,76.71,91,99,4.41,ID,overcast clouds
660,Antalaha,-14.9003,50.2788,75.47,88,91,3.58,MG,overcast clouds
661,Sitangkai,4.6628,119.3928,81.21,79,62,17.25,PH,broken clouds
662,Kovacica,45.1117,20.6214,46.0,100,40,2.3,RS,scattered clouds
663,Ust-Omchug,61.15,149.6333,-30.03,79,84,5.59,RU,broken clouds
664,Asosa,10.0667,34.5333,66.15,26,75,9.24,ET,broken clouds
665,Gladstone,-23.85,151.25,80.6,65,90,12.66,AU,overcast clouds
666,Huangmei,30.1924,116.025,44.56,58,89,1.81,CN,overcast clouds
667,Bulgan,48.8125,103.5347,13.55,87,28,7.65,MN,scattered clouds
668,Flin Flon,54.7682,-101.865,14.0,85,90,3.44,CA,light snow
669,Vangaindrano,-23.35,47.6,75.83,90,39,6.4,MG,light rain
670,Dolores,-36.3132,-57.6792,78.46,38,61,2.82,AR,broken clouds
671,Kaoma,-14.7833,24.8,65.55,92,100,4.0,ZM,overcast clouds
672,San Juan,-31.5375,-68.5364,89.15,21,79,11.63,AR,broken clouds
673,Bluefields,12.0137,-83.7635,80.6,78,40,6.91,NI,scattered clouds
674,Balykshi,47.0667,51.8667,24.8,100,51,6.71,KZ,mist
675,Pinyug,60.251,47.7842,18.21,97,100,6.31,RU,light snow
676,Ucluelet,48.9329,-125.5528,43.0,93,90,20.71,CA,moderate rain
677,Greenville,35.6127,-77.3663,34.0,47,1,3.44,US,clear sky
678,Woodward,36.4337,-99.3904,55.4,47,1,16.11,US,clear sky
679,Umm Kaddadah,13.6017,26.6876,63.82,26,1,20.2,SD,clear sky
680,Ouesso,1.6136,16.0517,73.67,87,74,1.07,CG,light rain
681,Praya,14.9215,-23.5087,73.4,56,75,19.57,CV,broken clouds
682,Russellville,35.2784,-93.1338,50.0,50,75,4.61,US,broken clouds
683,Urumqi,43.801,87.6005,-0.4,85,90,2.24,CN,fog
684,Marawi,7.9986,124.2928,71.01,88,78,7.0,PH,broken clouds
685,Pangkalanbuun,-2.6833,111.6167,73.54,96,100,3.4,ID,light rain
686,Konongo,6.6167,-1.2167,73.42,88,97,1.48,GH,overcast clouds
687,Miandrivazo,-19.5167,45.4667,79.39,82,37,0.94,MG,scattered clouds
688,Ocampo,21.65,-101.5,68.32,25,57,8.39,MX,broken clouds
689,Natchez,31.5604,-91.4032,59.0,62,1,3.29,US,clear sky
