,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Gat,31.61,34.7642,55.99,100,23,3.0,IL,few clouds
80,Sioux Lookout,50.1001,-91.917,12.2,67,75,3.44,CA,broken clouds
81,Yerbogachen,61.2767,108.0108,-44.46,78,52,5.46,RU,broken clouds
82,Tabou,4.423,-7.3528,77.68,87,81,5.97,CI,broken clouds
83,Puerto Ayora,-0.7393,-90.3518,84.2,70,40,12.66,EC,light rain
84,Selma,36.5708,-119.6121,55.99,67,20,3.44,US,few clouds
85,Hermanus,-34.4187,19.2345,61.0,90,79,5.01,ZA,broken clouds
86,Ixtapa,20.7,-105.2,75.2,78,40,11.5,MX,scattered clouds
87,Panaba,21.2833,-88.2667,71.46,71,32,12.86,MX,scattered clouds
88,Arraial Do Cabo,-22.9661,-42.0278,78.44,81,51,27.38,BR,broken clouds
89,Severnoye,56.3491,78.3619,-5.22,90,100,7.09,RU,overcast clouds
90,Oktyabrskiy,54.4815,53.471,26.22,98,99,8.28,RU,overcast clouds
91,Phalombe,-15.8064,35.6507,68.41,92,99,2.13,MW,overcast clouds
92,Mehamn,71.0357,27.8492,23.0,74,75,8.05,NO,light snow
93,Kavaratti,10.5669,72.642,80.15,73,13,10.18,IN,few clouds
94,Manokwari,-0.8667,134.0833,79.63,75,100,4.99,ID,overcast clouds
95,Taoudenni,22.6783,-3.9836,71.17,22,0,12.53,ML,clear sky
96,Quatre Cocos,-20.2078,57.7625,80.6,78,40,6.91,MU,scattered clouds
97,Vaini,-21.2,-175.2,75.2,100,90,13.8,TO,moderate rain
98,Vila Do Maio,15.1333,-23.2167,73.4,56,75,19.57,CV,broken clouds
99,San Quintin,30.4833,-115.95,59.67,63,40,14.2,MX,scattered clouds
100,Barrow,71.2906,-156.7887,-11.2,77,90,6.91,US,overcast clouds
101,High Level,58.5169,-117.136,-7.6,84,20,2.3,CA,few clouds
102,Chumikan,54.7183,135.315,-13.97,88,100,10.71,RU,overcast clouds
103,Trollhattan,58.2333,12.4167,24.8,85,0,3.44,SE,clear sky
104,Tuatapere,-46.1333,167.6833,60.1,49,3,3.94,NZ,clear sky
105,Porto Walter,-8.2686,-72.7439,79.09,85,37,3.47,BR,moderate rain
106,Punta Arenas,-53.15,-70.9167,50.0,57,0,21.85,CL,clear sky
107,New Glasgow,45.5834,-62.6486,28.4,86,100,21.85,CA,light snow
108,Polson,47.6936,-114.1632,35.01,59,95,0.81,US,overcast clouds
109,Souillac,-20.5167,57.5167,80.6,78,40,6.91,MU,light rain
110,Butaritari,3.0707,172.7902,80.78,74,95,16.71,KI,overcast clouds
111,San Patricio,28.017,-97.5169,73.4,60,75,17.27,US,broken clouds
112,Henties Bay,-22.116,14.2845,66.99,84,32,7.38,NA,scattered clouds
113,Leningradskiy,69.3833,178.4167,-23.82,84,98,8.93,RU,overcast clouds
114,Bunbury,-33.3333,115.6333,61.0,81,0,1.99,AU,clear sky
115,Edd,13.9297,41.6925,75.33,36,0,10.04,ER,clear sky
116,Hamilton,39.1834,-84.5333,30.99,59,1,4.61,US,clear sky
117,Walvis Bay,-22.9575,14.5053,66.99,77,68,6.91,NA,broken clouds
118,Aklavik,68.2191,-135.0107,-31.0,75,75,2.3,CA,broken clouds
119,Loreto,22.2667,-101.9667,70.0,24,82,2.37,MX,broken clouds
120,Marsh Harbour,26.5412,-77.0636,65.86,66,88,16.06,BS,overcast clouds
121,Hauterive,46.0901,3.4459,50.0,57,0,3.44,FR,clear sky
122,Tautira,-17.7333,-149.15,84.2,65,20,14.97,PF,moderate rain
123,Balod,20.73,81.2047,58.78,67,17,5.37,IN,few clouds
124,Korla,41.7597,86.1469,21.54,83,0,3.15,CN,clear sky
125,Upernavik,72.7868,-56.1549,-7.56,83,72,11.7,GL,broken clouds
126,Kodiak,57.79,-152.4072,35.6,64,20,12.66,US,few clouds
127,Biltine,14.5333,20.9167,69.39,23,42,17.27,TD,scattered clouds
128,Coahuayana,18.7333,-103.6833,84.2,54,75,4.5,MX,broken clouds
129,Juan Lacaze,-34.4342,-57.4381,80.6,47,40,5.75,UY,scattered clouds
130,Sitka,57.0531,-135.33,37.4,52,90,9.22,US,overcast clouds
131,Santa Maria,-29.6842,-53.8069,75.2,94,75,4.61,BR,heavy intensity rain
132,Broken Hill,-31.95,141.4333,69.8,56,3,19.57,AU,clear sky
133,Faya,18.3851,42.4509,59.0,38,0,5.75,SA,clear sky
134,Sidi Ali,36.0998,0.4206,56.89,79,0,7.7,DZ,clear sky
135,Jamestown,42.097,-79.2353,21.0,86,90,12.66,US,light snow
136,Weiser,44.251,-116.9693,46.4,71,90,6.91,US,overcast clouds
137,Nikolskoye,59.7035,30.7861,33.01,93,90,8.95,RU,light snow
138,Srednekolymsk,67.45,153.6833,-31.95,83,100,2.42,RU,overcast clouds
139,Tomatlan,19.9333,-105.25,92.71,24,65,14.65,MX,broken clouds
140,Hithadhoo,-0.6,73.0833,81.21,76,56,9.78,MV,broken clouds
141,Erzin,36.9559,36.2,44.01,74,0,7.0,TR,clear sky
142,Luanda,-8.8368,13.2343,80.6,78,20,5.75,AO,few clouds
143,Missoula,47.0166,-113.8009,37.4,81,20,2.71,US,few clouds
144,Castro,-24.7911,-50.0119,65.46,97,98,2.48,BR,overcast clouds
145,Nome,64.5011,-165.4064,1.4,66,40,18.41,US,scattered clouds
146,Arman,59.7,150.1667,-17.3,78,34,11.05,RU,scattered clouds
147,Tasiilaq,65.6145,-37.6368,15.8,73,90,27.63,GL,overcast clouds
148,Baracoa,20.3467,-74.4958,70.93,79,94,11.61,CU,overcast clouds
149,Esperance,-33.8667,121.9,60.8,82,0,8.05,AU,clear sky
150,Coihaique,-45.5752,-72.0662,60.8,41,0,10.36,CL,clear sky
151,Vilyuysk,63.7553,121.6247,-46.07,77,97,2.46,RU,overcast clouds
152,Lakes Entrance,-37.8811,147.981,66.99,84,89,3.0,AU,overcast clouds
153,Svetlaya,46.5389,138.3297,3.67,91,100,13.89,RU,overcast clouds
154,Lata,40.1629,-8.3327,57.99,94,100,1.99,PT,overcast clouds
155,Kaitangata,-46.2817,169.8464,59.0,68,82,7.0,NZ,broken clouds
156,Port-Gentil,-0.7193,8.7815,78.8,89,20,5.75,GA,light rain
157,Liaozhong,41.5061,122.7242,6.8,78,0,4.47,CN,clear sky
158,Lavrentiya,65.5833,-171.0,-15.66,81,0,11.97,RU,clear sky
159,Cherskiy,68.75,161.3,-33.38,83,28,4.25,RU,scattered clouds
160,Mocuba,-16.8392,36.9856,73.72,98,100,2.24,MZ,overcast clouds
161,Havre-Saint-Pierre,50.2334,-63.5986,12.2,67,1,6.91,CA,clear sky
162,Cortez,37.3489,-108.5859,42.8,45,90,10.36,US,overcast clouds
163,Poros,37.4994,23.4536,55.99,100,90,9.57,GR,overcast clouds
164,Carnarvon,-24.8667,113.6333,80.6,61,1,4.61,AU,clear sky
165,Yumen,40.2833,97.2,20.62,73,0,15.5,CN,clear sky
166,Beringovskiy,63.05,179.3167,-15.7,84,9,10.13,RU,clear sky
167,Jasper,37.2001,-94.3502,51.8,43,1,12.66,US,clear sky
168,Auki,-8.7676,160.7034,82.36,81,100,10.45,SB,overcast clouds
169,Ankang,32.68,109.0172,42.51,61,41,1.21,CN,scattered clouds
170,Pacific Grove,36.6177,-121.9166,55.4,62,20,6.91,US,few clouds
171,Oussouye,12.485,-16.5469,73.4,73,0,6.91,SN,clear sky
172,Westport,41.1415,-73.3579,21.99,45,1,11.5,US,clear sky
173,Balkanabat,39.5108,54.3671,49.1,50,68,1.5,TM,broken clouds
174,Talcahuano,-36.7167,-73.1167,59.0,100,90,8.05,CL,mist
175,Saldanha,-33.0117,17.9442,64.27,91,0,10.2,ZA,clear sky
176,Clyde River,70.4692,-68.5914,-16.6,76,1,11.5,CA,clear sky
177,Balabac,7.9868,117.0645,80.42,79,67,20.74,PH,broken clouds
178,Port Blair,11.6667,92.75,78.66,81,50,6.98,IN,scattered clouds
179,Krylovskaya,46.3194,39.9711,36.01,84,96,12.17,RU,overcast clouds
180,Trincomalee,8.5711,81.2335,78.51,84,87,13.31,LK,overcast clouds
181,Provideniya,64.3833,-173.3,-6.38,81,87,7.07,RU,overcast clouds
182,Katherine,-14.4667,132.2667,80.6,83,40,8.05,AU,scattered clouds
183,Omboue,-1.5746,9.2618,78.39,89,100,5.46,GA,light rain
184,Wanning,18.8003,110.3967,65.01,85,81,6.6,CN,broken clouds
185,Isangel,-19.55,169.2667,84.2,70,20,16.75,VU,few clouds
186,Axim,4.8699,-2.2405,78.24,86,60,3.33,GH,light rain
187,La Ronge,55.1001,-105.2842,8.6,85,100,4.61,CA,overcast clouds
188,Anadyr,64.75,177.4833,-22.0,76,0,6.71,RU,clear sky
189,Kimbe,-5.5502,150.1429,82.8,80,95,5.37,PG,moderate rain
190,Zawadzkie,50.605,18.4847,28.0,96,100,1.39,PL,overcast clouds
191,Margate,51.3813,1.3862,46.0,85,99,1.01,GB,overcast clouds
192,Dubbo,-32.25,148.6167,75.2,73,90,12.66,AU,overcast clouds
193,Norman Wells,65.282,-126.8329,-29.2,75,20,2.3,CA,few clouds
194,Lubango,-14.9172,13.4925,58.93,75,81,4.12,AO,light rain
195,Kanigoro,-8.13,112.219,73.38,90,100,7.23,ID,moderate rain
196,Dhana,23.75,78.85,46.53,52,0,3.53,IN,clear sky
197,Los Llanos De Aridane,28.6585,-17.9182,66.2,88,75,8.05,ES,broken clouds
198,Quime,-16.9833,-67.2167,54.91,71,84,1.66,BO,broken clouds
199,Novichikha,52.204,81.3877,15.21,96,89,11.68,RU,overcast clouds
200,Payakumbuh,-0.2202,100.6308,69.93,89,100,1.28,ID,overcast clouds
201,Ancud,-41.8697,-73.8203,62.01,55,0,10.36,CL,clear sky
202,Mananjary,-21.2167,48.3333,76.6,86,0,4.5,MG,light rain
203,Half Moon Bay,37.4636,-122.4286,55.4,66,1,5.75,US,clear sky
204,Khorramshahr,30.4397,48.1664,62.6,51,0,9.22,IR,clear sky
205,Alofi,-19.0595,-169.9187,80.6,78,100,10.36,NU,moderate rain
206,Nueve De Julio,-35.4444,-60.8831,82.0,41,84,1.01,AR,broken clouds
207,Bambanglipuro,-7.95,110.2833,75.49,89,100,5.84,ID,moderate rain
208,Snezhnogorsk,69.1933,33.2531,6.8,85,75,2.24,RU,light snow
209,Shubarshi,48.5872,57.1869,20.88,96,100,8.05,KZ,overcast clouds
210,Conde,-7.2597,-34.9075,80.6,78,20,8.05,BR,few clouds
211,Lebu,-37.6167,-73.65,57.97,91,95,4.0,CL,overcast clouds
212,Pochutla,15.7432,-96.4661,93.2,36,40,8.05,MX,scattered clouds
213,Vila Velha,-20.3297,-40.2925,78.8,78,0,18.41,BR,clear sky
214,Bermejo,-32.8833,-68.8,86.0,28,0,3.44,AR,clear sky
215,Aketi,2.7388,23.7833,71.42,86,85,1.54,CD,overcast clouds
216,Beloha,-25.1667,45.05,76.1,87,31,7.27,MG,scattered clouds
217,Skjervoy,70.0311,20.9714,15.17,91,0,17.27,NO,clear sky
218,Chokurdakh,70.6333,147.9167,-25.26,86,100,7.4,RU,overcast clouds
219,Shetpe,44.1667,52.1167,29.8,95,12,3.44,KZ,few clouds
220,Adrar,20.5022,-10.0711,67.14,23,0,10.25,MR,clear sky
221,Yar-Sale,66.8333,70.8333,-41.24,80,16,3.47,RU,few clouds
222,Cidreira,-30.1811,-50.2056,76.87,88,74,8.95,BR,broken clouds
223,Narsaq,60.9167,-46.05,44.6,29,75,24.16,GL,broken clouds
224,Camopi,3.1655,-52.3158,73.35,97,99,3.11,GF,moderate rain
225,Tchollire,8.4022,14.1698,71.8,22,1,1.19,CM,clear sky
226,Bukama,-9.2,25.85,69.39,89,70,2.24,CD,broken clouds
227,Rio Gallegos,-51.6226,-69.2181,50.0,50,40,26.46,AR,scattered clouds
228,Himare,40.1017,19.7447,60.01,96,100,1.99,AL,overcast clouds
229,Iqaluit,63.7506,-68.5145,-13.0,77,90,31.07,CA,snow
230,Kahului,20.8947,-156.47,80.6,54,20,24.16,US,few clouds
231,Hovd,48.0056,91.6419,11.28,80,100,0.49,MN,overcast clouds
232,Copiapo,-27.3667,-70.3333,66.2,72,75,9.22,CL,broken clouds
233,Pombas,17.1503,-25.0201,71.6,83,40,14.97,CV,scattered clouds
234,Qaanaaq,77.484,-69.3632,-14.55,62,0,5.12,GL,clear sky
235,Tombouctou,20.0,-3.0,69.57,20,0,12.21,ML,clear sky
236,Palmer,42.1584,-72.3287,15.01,48,40,13.8,US,scattered clouds
237,Pevek,69.7008,170.3133,-29.54,85,4,2.84,RU,clear sky
238,Tanout,14.9709,8.8879,63.28,25,0,12.66,NE,clear sky
239,Lompoc,34.6391,-120.4579,51.8,82,75,4.61,US,broken clouds
240,Sisimiut,66.9395,-53.6735,9.28,75,0,9.78,GL,clear sky
241,Dzaoudzi,-12.7887,45.2699,80.6,74,100,3.44,YT,heavy intensity rain
242,Waipawa,-41.4122,175.5153,61.0,63,75,20.71,NZ,broken clouds
243,Bathsheba,13.2167,-59.5167,77.0,78,40,11.5,BB,scattered clouds
244,Cabo San Lucas,22.8909,-109.9124,84.2,53,1,11.5,MX,clear sky
245,North Bend,43.4065,-124.2243,48.99,76,90,5.75,US,overcast clouds
246,Chake Chake,-5.2459,39.7666,78.48,83,0,9.37,TZ,clear sky
247,Kargasok,59.0556,80.8572,-31.43,83,0,7.65,RU,clear sky
248,Nang Rong,14.6377,102.7914,60.8,100,10,2.3,TH,mist
249,Kisangani,0.5167,25.2,72.18,90,92,1.92,CD,overcast clouds
250,Puerto Escondido,15.85,-97.0667,82.4,74,75,10.36,MX,broken clouds
251,Micheweni,-4.9667,39.8333,80.33,80,1,11.63,TZ,clear sky
252,Pacifica,37.6138,-122.4869,54.0,66,1,5.75,US,clear sky
253,Mount Gambier,-37.8333,140.7667,60.8,88,75,10.36,AU,broken clouds
254,Finale Ligure,44.1695,8.3436,51.8,87,0,3.44,IT,clear sky
255,Samarai,-10.6167,150.6667,83.32,73,85,6.76,PG,overcast clouds
256,Caravelas,-17.7125,-39.2481,77.32,81,0,7.23,BR,clear sky
257,Thompson,55.7435,-97.8558,10.4,79,90,4.61,CA,overcast clouds
258,Bloomingdale,27.8936,-82.2404,64.0,44,1,3.2,US,clear sky
259,Rocha,-34.4833,-54.3333,72.16,68,51,6.2,UY,broken clouds
260,Takoradi,4.8845,-1.7554,78.84,84,87,4.92,GH,overcast clouds
261,Galle,6.0367,80.217,75.94,87,97,2.15,LK,overcast clouds
262,Eenhana,-17.4667,16.3333,77.0,78,98,2.3,NA,light rain
263,Brae,60.3964,-1.353,33.8,75,27,11.5,GB,scattered clouds
264,Port Lincoln,-34.7333,135.8667,63.14,66,71,10.51,AU,broken clouds
265,Mazamari,-11.3258,-74.5308,74.5,82,100,1.19,PE,overcast clouds
266,Sipe Sipe,-17.45,-66.3833,68.0,52,75,3.44,BO,broken clouds
267,Nalut,30.3333,10.85,51.33,46,0,2.53,LY,clear sky
268,Hervey Bay,-25.2986,152.8535,80.01,72,12,11.99,AU,few clouds
269,Tutoia,-2.7619,-42.2744,80.08,82,97,12.46,BR,overcast clouds
270,Mineiros,-17.5694,-52.5511,70.65,89,96,5.44,BR,overcast clouds
271,Shimoda,34.6667,138.95,41.0,52,20,4.61,JP,few clouds
272,Kalmunai,7.4167,81.8167,75.04,90,71,8.34,LK,broken clouds
273,Juneau,58.3019,-134.4197,28.4,74,90,4.61,US,light snow
274,Aras,42.5617,-2.356,44.6,93,0,1.9,ES,clear sky
275,Sao Joao Da Barra,-21.6403,-41.0511,80.6,69,0,20.71,BR,clear sky
276,Zhangye,38.9342,100.4517,18.01,74,0,4.68,CN,clear sky
277,Makakilo City,21.3469,-158.0858,80.6,50,90,12.66,US,overcast clouds
278,Kaeo,-35.1,173.7833,66.0,79,37,7.0,NZ,scattered clouds
279,Yining,29.0361,114.5636,46.98,63,98,0.45,CN,overcast clouds
280,Petropavlovsk-Kamchatskiy,53.0452,158.6483,12.2,73,73,6.71,RU,broken clouds
281,Cantanhede,-3.6333,-44.3767,75.13,95,100,2.59,BR,overcast clouds
282,Astoria,46.1879,-123.8313,44.01,87,90,13.8,US,mist
283,Mastic Beach,40.7668,-72.8521,21.99,42,1,19.57,US,clear sky
284,Atar,20.5169,-13.0499,67.69,24,0,8.88,MR,clear sky
285,Biggar,55.6167,-3.5167,35.01,10,71,1.99,GB,broken clouds
286,Lishan,31.8576,113.2951,41.81,64,89,1.54,CN,overcast clouds
287,Bambous Virieux,-20.3428,57.7575,80.6,78,40,6.91,MU,light rain
288,Batemans Bay,-35.7167,150.1833,71.01,96,100,3.0,AU,overcast clouds
289,Abucay,14.7667,120.4833,73.4,68,75,10.36,PH,broken clouds
290,Mnogovershinnyy,53.9353,139.9242,-9.24,92,100,4.61,RU,overcast clouds
291,Ponta Delgada,37.7333,-25.6667,59.0,94,20,8.05,PT,few clouds
292,Touros,-5.1989,-35.4608,80.6,78,20,12.66,BR,few clouds
293,Neiafu,-18.65,-173.9833,77.0,94,90,8.05,TO,light rain
294,Dingle,10.9995,122.6711,74.08,90,100,11.81,PH,overcast clouds
295,Fredericksburg,38.3032,-77.4605,30.2,22,1,8.05,US,clear sky
296,Vanimo,-2.6741,141.3028,80.01,79,100,8.63,PG,overcast clouds
297,Kenora,49.8167,-94.4337,15.8,79,75,9.22,CA,broken clouds
298,Alice Springs,-23.7,133.8833,88.0,54,40,17.27,AU,scattered clouds
299,Luderitz,-26.6481,15.1594,70.7,38,0,21.5,NA,clear sky
300,Cayenne,4.9333,-52.3333,77.0,100,75,1.14,GF,light rain
301,Nanortalik,60.1432,-45.2371,32.61,90,100,8.14,GL,overcast clouds
302,Northam,51.0333,-4.2167,46.99,93,100,5.99,GB,moderate rain
303,Daru,-9.0763,143.2092,78.12,85,100,13.0,PG,overcast clouds
304,Behshahr,36.6923,53.5526,53.13,54,100,6.31,IR,overcast clouds
305,Turukhansk,65.8167,87.9833,-30.08,77,98,5.48,RU,overcast clouds
306,Saurimo,-9.6608,20.3916,64.87,95,74,2.04,AO,broken clouds
307,Te Anau,-45.4167,167.7167,55.38,60,31,1.23,NZ,scattered clouds
308,Ulladulla,-35.35,150.4667,69.8,100,90,5.75,AU,light rain
309,Miri,4.4148,114.0089,77.0,100,20,2.3,MY,few clouds
310,Saint-Joseph,-21.3667,55.6167,77.0,65,0,6.91,RE,clear sky
311,Khandyga,62.6667,135.6,-52.92,75,81,0.4,RU,broken clouds
312,Saint-Louis,16.3333,-15.0,77.0,23,0,2.3,SN,clear sky
313,Lahaina,20.8783,-156.6825,80.6,54,20,24.16,US,few clouds
314,Ust-Maya,60.4167,134.5333,-50.03,75,80,0.74,RU,broken clouds
315,Deputatskiy,69.3,139.9,-30.62,86,100,2.04,RU,overcast clouds
316,Aripuana,-9.1667,-60.6333,75.31,95,99,1.21,BR,overcast clouds
317,Rawson,-43.3002,-65.1023,58.23,57,20,16.67,AR,few clouds
318,Xuddur,4.1213,43.8894,66.96,70,1,14.83,SO,clear sky
319,Xingcheng,40.6167,120.7167,19.49,85,0,12.91,CN,clear sky
320,Aswan,24.0934,32.907,52.14,45,0,8.41,EG,clear sky
321,Kasane,-17.8167,25.15,67.69,98,99,3.85,BW,light rain
322,Jardim,-21.4803,-56.1381,75.92,86,99,5.7,BR,overcast clouds
323,Shakawe,-18.3667,21.85,68.49,92,100,4.5,BW,overcast clouds
324,Port Hawkesbury,45.6169,-61.3485,26.01,74,20,3.44,CA,few clouds
325,Port Hedland,-20.3167,118.5667,84.2,79,49,6.91,AU,scattered clouds
326,Kavieng,-2.5744,150.7967,83.07,81,93,14.36,PG,light rain
327,Lancaster,40.2504,-76.2499,26.01,67,99,1.99,US,overcast clouds
328,Tabas,33.5959,56.9244,53.6,16,90,4.61,IR,overcast clouds
329,Mokhsogollokh,61.4681,128.9203,-43.01,80,100,0.94,RU,overcast clouds
330,Vila Franca Do Campo,37.7167,-25.4333,59.0,94,20,8.05,PT,few clouds
331,Christchurch,-43.5333,172.6333,62.01,58,90,8.05,NZ,overcast clouds
332,Turayf,31.6725,38.6637,41.0,100,20,13.8,SA,few clouds
333,Zhigansk,66.7697,123.3711,-44.9,77,86,8.52,RU,overcast clouds
334,Fuquay-Varina,35.5843,-78.8,36.0,45,0,4.83,US,clear sky
335,Komsomolskiy,40.4272,71.7189,32.0,47,61,6.91,UZ,broken clouds
336,Seminole,28.7086,-81.2081,60.01,58,1,10.36,US,clear sky
337,Stribro,49.7529,13.0041,42.8,93,90,12.66,CZ,overcast clouds
338,Teknaf,20.8624,92.3058,60.82,58,0,7.65,BD,clear sky
339,Bilibino,68.0546,166.4372,-25.22,79,10,4.79,RU,clear sky
340,Ngorongoro,-3.2397,35.4875,53.02,95,100,3.38,TZ,light rain
341,Moose Factory,51.2585,-80.6094,1.4,78,90,9.22,CA,light snow
342,Morehead,37.2711,-87.1764,37.99,44,1,5.75,US,clear sky
343,Vestmannaeyjar,63.4427,-20.2734,36.68,78,98,6.4,IS,overcast clouds
344,Havelock,34.8791,-76.9013,35.6,44,1,8.05,US,clear sky
345,Comodoro Rivadavia,-45.8667,-67.5,60.8,44,20,10.36,AR,few clouds
346,Meadow Lake,34.8014,-106.5436,59.0,28,40,18.41,US,scattered clouds
347,Progreso,21.2833,-89.6667,77.0,57,40,9.22,MX,scattered clouds
348,Wanaka,-44.7,169.15,58.05,54,0,3.44,NZ,clear sky
